GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,Birthplace,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3
3,3,3,3,3,3,3,1,1,1,1,1,League of Legends,PC,50.0,I play for fun,winning,Unranked,20.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,5.0,Male,18,Student at school,High School,Ivory Coast,Multiplayer,21,5,53.0,CHE
0,0,1,1,0,2,0,6,5,6,4,7,League of Legends,PC,12.0,To earn,Other,Unranked,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,18,Student at school,None,Germany,Multiplayer,4,28,5.0,DEU
0,0,1,0,0,0,0,2,2,5,1,2,League of Legends,PC,4.0,To earn,winning,Unranked,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,18,Student at college / university,High School,UK,Multiplayer,1,12,16.0,FRA
0,0,0,0,2,1,1,5,5,6,5,3,League of Legends,PC,7.0,I play for fun,improving,Unranked,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,28,Employed,High School,USA,Multiplayer,4,24,4.0,USA
0,0,0,1,1,1,0,5,7,7,6,6,League of Legends,PC,30.0,I play for fun,improving,Unranked,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,Male,34,Employed,High School,Canada,Multiplayer,3,31,6.0,CAN
0,0,2,2,0,0,3,3,4,6,7,5,League of Legends,PC,35.0,I play for fun,improving,Gold,3.0,3.0,4.0,4.0,4.0,2.0,4.0,0.0,3.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,2.0,0.0,3.0,Male,21,Student at college / university,High School,Brazil,Multiplayer,7,25,46.0,BRA
0,0,0,0,0,1,0,3,5,5,5,5,League of Legends,PC,8.0,I play for fun,having fun,Gold,16.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,28,Employed,Masters,Spain,Multiplayer,1,23,16.0,ESP
2,1,1,3,0,0,1,2,4,5,5,3,League of Legends,PC,20.0,I play for fun,having fun,Gold,4.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,Male,18,Student at college / university,High School,Estonia,Multiplayer,8,19,11.0,EST
0,0,0,1,2,1,0,5,4,6,6,6,League of Legends,PC,5.0,I play for fun,having fun,Gold,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,22,Employed,Bachelor,Netherlands,Multiplayer,4,27,4.0,NLD
0,0,0,0,0,0,0,6,7,6,7,7,League of Legends,PC,20.0,I play for fun,having fun,Gold,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,25,Student at college / university,Masters,Germany,Multiplayer,0,33,0.0,DEU
3,3,3,3,3,3,3,3,4,5,3,3,League of Legends,PC,14.0,I play for fun,winning,Unranked,15.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,Male,23,Employed,Bachelor,Canada,Multiplayer,21,18,25.0,CAN
1,0,1,0,0,0,0,4,3,5,2,3,League of Legends,PC,20.0,I play for fun,improving,Gold,15.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,Male,22,Student at school,Masters,France,Multiplayer,2,17,10.0,FRA
1,0,2,0,0,0,0,1,2,2,2,1,League of Legends,PC,14.0,I play for fun,improving,Silver,30.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,Male,25,Employed,Bachelor,USA,Multiplayer,3,8,38.0,USA
0,0,0,1,0,0,0,2,6,2,3,3,League of Legends,PC,13.0,I play for fun,improving,Platinum,14.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,Male,19,Student at college / university,High School,Canada,Multiplayer,1,16,17.0,CAN
0,0,1,1,0,0,0,1,3,4,3,3,League of Legends,PC,5.0,I play for fun,winning,Gold,20.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,Male,20,Unemployed / between jobs,High School,Lithuania,Multiplayer,2,14,10.0,LTU
2,1,3,0,1,2,2,2,5,6,3,2,League of Legends,PC,17.0,I play for fun,winning,Gold,5.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,2.0,Male,18,Student at school,None,USA,Multiplayer,11,18,34.0,USA
0,0,2,0,0,0,0,2,6,5,5,3,League of Legends,PC,16.0,I play for fun,improving,Gold,10.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,18,Student at school,High School,Brazil,Multiplayer,2,21,7.0,USA
3,3,3,3,0,2,3,1,2,2,2,2,League of Legends,PC,20.0,I play for fun,having fun,Unranked,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,Male,18,Student at school,None,Germany,Multiplayer,17,9,23.0,DEU
0,0,0,0,0,1,0,7,6,6,7,6,Other,PC,10.0,I play for fun,having fun,Unranked,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,Male,38,Employed,Masters,Sweden,Multiplayer,1,32,8.0,SWE
3,2,2,3,2,0,2,6,6,6,7,7,League of Legends,PC,7.0,I play for fun,having fun,Unranked,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,Female,23,Employed,High School,USA,Multiplayer,14,32,49.0,USA
1,1,0,0,0,0,1,6,7,5,5,7,League of Legends,PC,12.0,I play for fun,improving,Gold,12.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,21,Student at college / university,Bachelor,Morocco,Multiplayer,3,30,15.0,MAR
1,0,0,0,0,0,0,2,7,7,6,6,League of Legends,PC,10.0,I play for fun,having fun,Unranked,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,21,Student at college / university,Bachelor,USA,Multiplayer,1,28,3.0,USA
1,1,2,2,1,1,3,2,5,2,3,5,Other,PC,5.0,I play for fun,winning,Gold,10.0,2.0,2.0,0.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,Male,19,Student at college / university,High School,Panama,Multiplayer,11,17,36.0,CAN
0,0,2,2,0,0,1,5,7,5,5,2,League of Legends,PC,7.0,I play for fun,having fun,Gold,5.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,20,Student at college / university,None,UK,Multiplayer,5,24,11.0,GBR
1,1,1,0,0,2,0,4,4,5,5,1,Other,PC,10.0,I play for fun,winning,Unranked,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Male,24,Unemployed / between jobs,High School,Spain,Multiplayer,5,19,19.0,ESP
1,0,1,0,1,1,0,2,6,6,6,2,League of Legends,PC,20.0,I play for fun,having fun,Unranked,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,Male,23,Employed,Bachelor,USA,Multiplayer,4,22,14.0,USA
3,2,2,1,0,2,1,2,3,2,3,1,League of Legends,PC,30.0,To earn,winning,Gold,8.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,4.0,0.0,2.0,4.0,1.0,2.0,4.0,Male,18,Student at college / university,High School,Canada,Multiplayer,11,11,39.0,CAN
0,0,0,1,0,0,1,5,5,6,6,6,League of Legends,PC,30.0,I play for fun,having fun,Platinum,5.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,25,Student at college / university,Bachelor,Spain,Multiplayer,2,28,9.0,ESP
1,1,2,1,1,1,0,2,5,3,2,3,Other,PC,20.0,I play for fun,having fun,Gold,16.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,Male,20,Student at college / university,High School,Italy,Singleplayer,7,15,33.0,ITA
0,0,1,1,2,2,0,5,6,7,7,7,League of Legends,PC,30.0,I play for fun,improving,Unranked,10.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Male,20,Student at college / university,High School,USA,Multiplayer,6,32,13.0,USA
0,0,1,0,2,0,0,4,6,6,5,5,League of Legends,PC,15.0,I play for fun,improving,Unranked,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Male,24,Employed,Bachelor,Netherlands,Multiplayer,3,26,5.0,CAN
1,0,1,0,2,1,0,4,2,4,4,3,League of Legends,PC,40.0,I play for fun,improving,Gold,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,23,Student at college / university,High School,Ireland,Multiplayer,5,17,6.0,GBR
0,0,1,0,0,0,1,2,3,4,2,5,League of Legends,PC,4.0,I play for fun,improving,Gold,0.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,Male,21,Employed,High School,USA,Multiplayer,2,16,32.0,USA
0,1,2,0,0,1,1,2,3,2,3,1,League of Legends,PC,8.0,I play for fun,having fun,Unranked,15.0,1.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,Male,21,Employed,None,UK,Multiplayer,5,11,28.0,GBR
0,0,0,0,0,0,0,2,3,4,1,2,League of Legends,PC,4.0,I play for fun,having fun,Unranked,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,20,Student at college / university,Bachelor,France,Multiplayer,0,12,11.0,FRA
1,3,3,3,1,3,3,1,1,1,1,1,League of Legends,PC,22.0,To earn,winning,Unranked,28.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Male,18,Student at school,None,Hungary,Multiplayer,17,5,8.0,HUN
2,3,3,2,2,2,3,2,5,3,1,4,League of Legends,PC,20.0,I play for fun,having fun,Unranked,10.0,0.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,Male,22,Student at college / university,High School,Brazil,Multiplayer,17,15,30.0,BRA
0,0,1,0,0,1,0,2,3,4,3,5,League of Legends,PC,20.0,I play for fun,improving,Gold,4.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,Male,19,Employed,High School,Australia,Multiplayer,2,17,28.0,AUS
1,1,1,1,0,1,0,2,4,5,5,3,League of Legends,PC,20.0,I play for fun,improving,Platinum,5.0,0.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,Male,19,Student at college / university,High School,USA,Multiplayer,5,19,35.0,USA
1,1,1,1,0,2,0,2,3,3,2,3,World of Warcraft,PC,2.0,I play for fun,winning,Silver,24.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Male,25,Employed,High School,Denmark,Multiplayer,6,13,12.0,GBR
0,0,1,1,0,2,0,5,6,5,5,3,League of Legends,PC,28.0,I play for fun,winning,Gold,5.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,Female,23,Student at college / university,High School,UK,Multiplayer,4,24,15.0,GBR
3,1,2,0,0,1,0,1,1,1,1,1,League of Legends,PC,15.0,I play for fun,improving,Silver,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Male,23,Student at college / university,High School,Australia,Multiplayer,7,5,0.0,AUS
1,0,0,2,0,3,1,2,2,3,1,2,League of Legends,PC,20.0,I play for fun,winning,Gold,35.0,0.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,4.0,Male,23,Employed,High School,USA,Multiplayer,7,10,34.0,USA
0,0,0,0,0,0,1,5,6,5,6,6,World of Warcraft,PC,6.0,I play for fun,improving,Gold,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,28,Employed,Ph.D,USA,Multiplayer,1,28,3.0,USA
3,2,2,2,0,0,1,5,6,5,5,4,World of Warcraft,PC,18.0,I play for fun,improving,Gold,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,21,Student at college / university,High School,Germany,Multiplayer,10,25,17.0,DEU
0,0,0,0,0,1,0,6,7,7,7,4,League of Legends,PC,15.0,I play for fun,having fun,Silver,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Female,23,Unemployed / between jobs,Bachelor,USA,Multiplayer,1,31,3.0,DEU
0,0,0,0,2,2,0,4,6,5,3,5,League of Legends,PC,14.0,I play for fun,improving,Gold,5.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,Male,18,Student at school,None,Spain,Singleplayer,4,23,25.0,DEU
0,1,2,3,1,1,1,2,2,2,1,3,League of Legends,PC,10.0,I play for fun,relaxing,Unranked,10.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,Male,18,Student at school,None,Denmark,Multiplayer,9,10,17.0,DNK
0,0,0,1,0,1,0,4,6,5,6,6,League of Legends,PC,15.0,I play for fun,having fun,Gold,4.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,Male,22,Student at college / university,Bachelor,Switzerland,Multiplayer,2,27,21.0,CHE
3,3,3,3,2,1,1,2,2,2,2,2,League of Legends,PC,45.0,I play for fun,having fun,Unranked,18.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,Male,21,Student at college / university,Bachelor,USA,Multiplayer,16,10,50.0,USA
2,1,0,3,2,2,3,5,6,3,4,5,League of Legends,PC,21.0,I play for fun,winning,Gold,9.0,4.0,0.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,Male,26,Student at college / university,Masters,Canada,Multiplayer,13,23,22.0,CAN
2,2,1,2,1,3,1,2,4,3,5,2,League of Legends,PC,15.0,I play for fun,improving,Gold,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,Male,26,Employed,Masters,Brazil,Multiplayer,12,16,7.0,BRA
0,0,0,0,0,0,0,6,6,6,6,5,Other,PC,6.0,I play for fun,having fun,Unranked,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,Female,29,Employed,Masters,USA,Singleplayer,0,29,20.0,USA
1,0,0,0,0,0,0,7,7,7,6,4,League of Legends,PC,21.0,I play for fun,improving,Platinum,10.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,0.0,3.0,2.0,Male,20,Student at college / university,Bachelor,UK,Multiplayer,1,31,34.0,GBR
0,1,1,0,0,0,2,4,4,6,7,5,Other,PC,35.0,I play for fun,having fun,Silver,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,Male,20,Employed,High School,Germany,Multiplayer,4,26,52.0,DEU
0,0,0,0,0,0,0,6,5,7,6,6,League of Legends,PC,20.0,I play for fun,having fun,Unranked,20.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,28,Employed,High School,Russia,Multiplayer,0,30,7.0,RUS
0,0,1,2,1,0,1,3,5,5,2,2,League of Legends,PC,25.0,To earn,improving,Unranked,13.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,Male,20,Student at college / university,High School,Ukraine,Multiplayer,5,17,20.0,UKR
1,1,1,2,0,0,2,3,2,4,2,2,League of Legends,PC,21.0,I play for fun,improving,Platinum,25.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,Male,18,Student at school,None,Italy,Multiplayer,7,13,28.0,ITA
0,0,0,0,0,0,0,1,4,3,3,1,League of Legends,PC,50.0,I play for fun,having fun,Platinum,6.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,Male,18,Student at school,High School,Italy,Multiplayer,0,12,21.0,ITA
3,3,3,3,3,3,3,1,1,1,1,1,Counter Strike,PC,40.0,I play because i'm addicted,winning,Unranked,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,Male,25,Employed,High School,Poland,Multiplayer,21,5,8.0,FIN
0,0,0,0,1,1,0,5,7,7,7,6,League of Legends,PC,8.0,I play for fun,having fun,Unranked,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,21,Student at college / university,High School,USA,Multiplayer,2,32,3.0,USA
0,0,0,0,0,1,0,5,3,5,5,5,Counter Strike,PC,20.0,I play for fun,having fun,Unranked,10.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,Male,19,Student at school,High School,Germany,Multiplayer,1,23,21.0,DEU
1,0,1,0,0,0,1,2,3,5,3,2,League of Legends,PC,8.0,I play for fun,having fun,Gold,10.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,Male,24,Unemployed / between jobs,High School,USA,Multiplayer,3,15,16.0,USA
0,0,1,0,1,0,1,5,4,2,3,3,Other,PC,24.0,I play for fun,improving,Gold,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,20,Student at college / university,High School,Australia,Multiplayer,3,17,9.0,AUS
2,2,3,3,3,2,0,5,7,4,2,6,League of Legends,PC,25.0,I play for fun,improving,Gold,15.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,Male,19,Student at school,High School,Netherlands,Multiplayer,15,24,24.0,NLD
0,1,1,0,0,2,0,4,4,3,3,2,League of Legends,PC,14.0,I play for fun,having fun,Unranked,5.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,0.0,2.0,Female,19,Student at college / university,High School,Norway,Multiplayer,4,16,28.0,NOR
1,0,1,0,0,0,1,2,6,5,4,2,League of Legends,PC,20.0,I play for fun,having fun,Gold,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,25,Employed,Ph.D,Australia,Multiplayer,3,19,12.0,AUS
1,1,0,0,0,1,0,3,5,3,4,5,League of Legends,PC,15.0,I play for fun,improving,Silver,10.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,Male,18,Student at college / university,High School,Germany,Multiplayer,3,20,27.0,DEU
0,3,2,1,0,1,0,1,4,2,3,1,League of Legends,PC,25.0,I play for fun,having fun,Platinum,10.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,19,Employed,High School,Brazil,Multiplayer,7,11,17.0,BRA
1,0,2,1,1,1,0,7,5,6,6,5,League of Legends,PC,30.0,Pays for my college tuition,improving,Gold,16.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,Female,20,Student at college / university,High School,USA,Multiplayer,6,29,18.0,USA
1,0,0,1,0,0,0,1,3,2,1,3,League of Legends,PC,5.0,I play for fun,winning,Silver,0.0,0.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,Male,19,Unemployed / between jobs,High School,Sweden,Multiplayer,2,10,24.0,SWE
0,0,0,1,0,0,0,4,6,6,4,2,Counter Strike,PC,20.0,I play for fun,improving,Unranked,12.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Male,19,Student at college / university,High School,Sri Lanka,Multiplayer,1,22,29.0,CAN
0,0,1,0,1,2,0,2,5,6,3,4,League of Legends,PC,35.0,To earn,winning,Gold,10.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,4.0,Male,25,Employed,Bachelor,Australia,Singleplayer,4,20,22.0,AUS
0,0,0,0,0,0,0,5,4,5,4,5,League of Legends,PC,10.0,I play for fun,having fun,Gold,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Male,19,Student at college / university,High School,Germany,Multiplayer,0,23,8.0,DEU
1,1,2,2,0,1,2,2,2,2,2,5,League of Legends,PC,30.0,I play for fun,having fun,Platinum,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,Male,22,Student at college / university,High School,Poland,Multiplayer,9,13,47.0,POL
2,1,0,1,0,0,2,3,4,3,5,2,League of Legends,PC,25.0,I play for fun,improving,Gold,10.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,Male,20,Student at college / university,High School,Mexico,Multiplayer,6,17,22.0,MEX
0,0,0,3,1,1,0,1,7,2,1,6,League of Legends,PC,35.0,I play for fun,improving,Platinum,12.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,Male,20,Student at college / university,High School,Netherlands,Multiplayer,5,17,20.0,NLD
3,2,2,1,1,1,2,3,5,4,3,3,Other,PC,37.0,I play for fun,winning,Silver,16.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,Male,20,Student at college / university,High School,USA,Multiplayer,12,18,29.0,USA
3,3,3,2,2,2,1,4,4,4,4,4,League of Legends,PC,10.0,I play for fun,winning,Unranked,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,Male,19,Student at school,Bachelor,France,Multiplayer,16,20,60.0,FRA
0,0,0,0,3,1,0,5,7,7,2,7,League of Legends,PC,12.0,I play for fun,having fun,Gold,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,33,Employed,Masters,Netherlands,Multiplayer,4,28,0.0,NLD
1,1,1,0,0,1,0,2,6,3,1,1,Guild Wars 2,PC,20.0,I play for fun,improving,Unranked,6.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,Male,23,Employed,Bachelor,Netherlands,Multiplayer,4,13,39.0,NLD
0,0,1,0,1,0,0,6,6,5,5,5,Other,PC,15.0,I play for fun,improving,Platinum,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,Male,20,Student at college / university,Bachelor,India,Multiplayer,2,27,31.0,GBR
0,0,0,1,0,1,0,4,6,4,4,2,Counter Strike,PC,20.0,I play for fun,improving,Unranked,15.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,0.0,4.0,1.0,Male,19,Student at college / university,None,Finland,Multiplayer,2,20,52.0,FIN
